SCHOOL,TYPE,WEBSITE,X,Y
VAN ASSELT ELEM,Service School,https://www.seattleschools.org/cms/one.aspx?pageId=27768105,-122.2959130293799,47.53809082507081
QUEEN ANNE GYM,NonStandard,,-122.3532652183505,47.632022747314174
ADAMS ELEM,Elementary,http://adamses.seattleschools.org/,-122.39151960172528,47.673632144946865
AKI KUROSE,Middle School,http://kurosems.seattleschools.org/,-122.28198038188852,47.54632186074956
ALKI ELEM,Elementary,http://alkies.seattleschools.org/,-122.40782717367986,47.5771417239526
ARBOR HEIGHTS,Elementary,http://arborheightses.seattleschools.org/,-122.37758781340747,47.50970036065696
B F DAY ELEM,Elementary,http://dayes.seattleschools.org/,-122.349123735788,47.65463546026138
GATZERT ELEM,Elementary,http://gatzertes.seattleschools.org/,-122.31548472078731,47.60120053342485
BALLARD HIGH SCHOOL,High School,http://ballardhs.seattleschools.org/,-122.37488866866484,47.67661076805413
BEACON HILL ELEM,Elementary,http://beaconhilles.seattleschools.org/,-122.31510488930329,47.58546920487336
BOREN BLDG,Option Elementary,http://borenstemk8.seattleschools.org/,-122.36214094201318,47.54861953431703
BROADVIEW-THOMSON,Elementary,http://broadviewk8.seattleschools.org/,-122.35314866876548,47.72463110801355
BRYANT ELEM,Elementary,http://bryantes.seattleschools.org/,-122.29220552396585,47.67184194309856
NORTHWEST CENTER,Service School,http://cppp.seattleschools.org/,-122.35861918617752,47.646275064511926
CATHARINE BLAINE,Elementary,http://blainek8.seattleschools.org/,-122.39926243061241,47.64225735722227
CEDAR PARK BLDG,Option Elementary,http://cedarparkes.seattleschools.org/,-122.28746672301985,47.7260577896735
SEALTH HIGH SCHOOL,High School,http://chiefsealthhs.seattleschools.org/,-122.36615479880884,47.52863205041646
CLEVELAND HIGH SCHOOL,Option High School,http://clevelandhs.seattleschools.org/,-122.31391191249362,47.552372061642934
COE ELEM,Elementary,http://coees.seattleschools.org/,-122.36559910811934,47.64051598670184
CONCORD ELEM,Elementary,http://concordes.seattleschools.org/,-122.32469058415131,47.52361090169649
DEARBORN PARK ELEM,Elementary,http://dearbornes.seattleschools.org/,-122.29628697987928,47.55226235908702
DECATUR BLDG/DS-2,Elementary,https://decatures.seattleschools.org/,-122.28266170970691,47.68502545388266
DENNY MIDDLE SCHOOL,Middle School,http://dennyms.seattleschools.org/,-122.3660415307508,47.53165395806838
DUNLAP ELEM,Elementary,http://dunlapes.seattleschools.org/,-122.27465565479055,47.52498918899432
ECKSTEIN MIDDLE SCHOOL,Middle School,http://ecksteinms.seattleschools.org/,-122.29498266174669,47.682520105628264
EMERSON ELEM,Elementary,http://emersones.seattleschools.org/,-122.25863614646332,47.514820465441616
FAIRMOUNT PARK ELEM,Elementary,http://fairmountparkes.seattleschools.org/,-122.38019123288008,47.55257320135188
FRANKLIN HIGH SCHOOL,High School,http://franklinhs.seattleschools.org/,-122.29364639930141,47.575887671201066
GARFIELD HIGH SCHOOL,High School,http://garfieldhs.seattleschools.org/,-122.30190468822822,47.605419513044005
GATEWOOD ELEM,Elementary,http://gatewoodes.seattleschools.org/,-122.38849821891864,47.540250885774796
GENESEE HILL BLDG,Elementary,http://geneseehilles.seattleschools.org/,-122.39688854060834,47.5654925686331
GRAHAM HILL ELEM,Elementary,http://grahamhilles.seattleschools.org/,-122.26853424903628,47.54575730995801
GREENLAKE ELEM,Elementary,http://greenlakees.seattleschools.org/,-122.3284978582122,47.67630160905856
GREENWOOD ELEM,Elementary,http://greenwoodes.seattleschools.org/,-122.3599603004509,47.68725389409658
HAMILTON MIDDLE SCHOOL,Middle School,http://hamiltonms.seattleschools.org/,-122.33802753662813,47.65708003026453
HAWTHORNE ELEM,Elementary,http://hawthornees.seattleschools.org/,-122.28338622378956,47.565905183779286
HAY ELEM,Elementary,http://hayes.seattleschools.org/,-122.35171658005886,47.63289848357708
PINEHURST,Option Elementary,http://hazelwolfk8.seattleschools.org/,-122.31465833908469,47.71343023141739
HIGHLAND PARK ELEM,Elementary,http://highlandparkes.seattleschools.org/,-122.34827728699305,47.525177494270885
INGRAHAM HIGH SCHOOL,High School,http://ingrahamhs.seattleschools.org/,-122.33683812607886,47.725699392815606
COLUMBIA BLDG/ORCA,Service School,http://interagency.seattleschools.org/,-122.28711551770037,47.558179024876644
JANE ADDAMS BUILDING,Middle School,http://addamsms.seattleschools.org/,-122.29300902493378,47.70994486184722
JOHN MUIR ELEM,Elementary,http://muires.seattleschools.org/,-122.29057986213614,47.57324134730414
JOHN ROGERS ELEM,Elementary,http://rogerses.seattleschools.org/,-122.2846337303945,47.70742643437472
LATONA ELEM,Option Elementary,http://stanfordes.seattleschools.org/,-122.32405186942037,47.65752825550456
KIMBALL ELEM,Elementary,http://kimballes.seattleschools.org/,-122.30301448862969,47.574045254751205
LAFAYETTE ELEM,Elementary,http://lafayettees.seattleschools.org/,-122.38723454642715,47.579495400018956
LAURELHURST ELEM,Elementary,http://laurelhurstes.seattleschools.org/,-122.27796307423417,47.662198034317896
LAWTON ELEM,Elementary,http://lawtones.seattleschools.org/,-122.39047452037401,47.65671240511215
LESCHI ELEM,Elementary,http://leschies.seattleschools.org/,-122.29181362545789,47.60210319153426
WILSON-PACIFIC,Option Elementary,http://lictonspringsk8.seattleschools.org/,-122.3395320612924,47.6954505262129
LOWELL ELEM,Elementary,http://lowelles.seattleschools.org/,-122.31837891574392,47.62442342416273
